,word,frequency
69,"abolitionists AE B AH L IH SH AH N AH S T S
",4
70,"aboriginal AE B ER IH JH AH N AH L
",1
71,"aborigine AE B ER IH JH AH N IY
",7
72,"aborigines AE B ER IH JH AH N IY Z
",8
73,"abortion AH B AO R SH AH N
",6
74,"abortions AH B AO R SH AH N Z
",1
75,"abortive AH B AO R T IH V
",3
76,"abound AH B AW N D
",1
77,"abounded AH B AW N D IH D
",2
78,"abounding AH B AW N D IH NG
",1
79,"abounds AH B AW N D Z
",1
80,"about AH B AW T
",1815
81,"above AH B AH V
",296
82,"abra AA B R AH
",1
83,"abraham EY B R AH HH AE M
",6
84,"abrams EY B R AH M Z
",1
85,"abreast AH B R EH S T
",5
86,"abridged AH B R IH JH D
",1
87,"abroad AH B R AO D
",51
88,"abrogated AE B R AH G EY T IH D
",1
89,"abrupt AH B R AH P T
",18
90,"abruptly AH B R AH P T L IY
",18
91,"abruptness AH B R AH P T N AH S
",1
92,"absence AE B S AH N S
",53
93,"absences AE B S AH N S IH Z
",3
94,"absent AE B S AH N T
",28
95,"absentee AE B S AH N T IY
",1
96,"absenteeism AE B S AH N T IY IH Z AH M
",1
97,"absentia AE B S EH N SH AH
",1
98,"absinthe AE B S IH N TH
",1
99,"absolute AE B S AH L UW T
",30
100,"absolutely AE B S AH L UW T L IY
",27
101,"absoluteness AE B S AH L UW T N AH S
",2
102,"absolutes AE B S AH L UW T S
",3
103,"absolution AE B S AH L UW SH AH N
",2
104,"absorb AH B Z AO R B
",13
105,"absorbed AH B Z AO R B D
",24
106,"absorbency AH B Z AO R B AH N S IY
",1
107,"absorber AH B Z AO R B ER
",1
108,"absorbing AH B Z AO R B IH NG
",3
109,"absorbs AH B Z AO R B Z
",1
110,"absorption AH B Z AO R P SH AH N
",12
111,"abstain AH B S T EY N
",1
112,"abstaining AH B S T EY N IH NG
",1
113,"abstention AH B S T EH N CH AH N
",5
114,"abstinence AE B S T AH N AH N S
",1
115,"abstract AE B S T R AE K T
",34
116,"abstracted AE B S T R AE K T IH D
",3
117,"abstraction AE B S T R AE K SH AH N
",16
118,"abstractions AE B S T R AE K SH AH N Z
",7
119,"abstracts AE B S T R AE K T S
",4
120,"absurd AH B S ER D
",17
121,"absurdities AH B S ER D AH T IY Z
",2
122,"absurdity AH B S ER D AH T IY
",8
123,"absurdly AH B S ER D L IY
",1
124,"abundance AH B AH N D AH N S
",13
125,"abundant AH B AH N D AH N T
",9
126,"abundantly AH B AH N D AH N T L IY
",2
127,"abuse AH B Y UW S
",18
128,"abused AH B Y UW Z D
",5
129,"abuses AH B Y UW S IH Z
",7
130,"abusive AH B Y UW S IH V
",1
131,"abysmal AH B IH Z M AH L
",2
132,"abyss AH B IH S
",4
133,"acacia AH K EY SH AH
",3
134,"academic AE K AH D EH M IH K
",56
135,"academically AE K AH D EH M IH K L IY
",5
136,"academics AE K AH D EH M IH K S
",2
137,"academies AH K AE D AH M IY Z
",3
138,"academy AH K AE D AH M IY
",24
139,"acadia AH K EY D IY AH
",1
140,"acapulco AE K AH P UH L K OW
",1
141,"accardo AA K AA R D OW
",1
142,"accede AE K S IY D
",1
143,"acceded AE K S IY D IH D
",1
144,"accelerate AE K S EH L ER EY T
",5
145,"accelerated AE K S EH L ER EY T IH D
",13
146,"accelerating AE K S EH L ER EY T IH NG
",6
147,"acceleration AE K S EH L ER EY SH AH N
",17
148,"accelerator AE K S EH L ER EY T ER
",5
149,"accelerators AE K S EH L ER EY T ER Z
",3
150,"accelerometer AE K S EH L ER AA M AH T ER
",17
151,"accelerometers AE K S EH L ER AA M AH T ER Z
",8
152,"accent AH K S EH N T
",9
153,"accented AE K S EH N T IH D
",3
154,"accenting AE K S EH N T IH NG
",1
155,"accents AE K S EH N T S
",5
156,"accentuate AE K S EH N CH UW EY T
",1
157,"accentuated AE K S EH N CH UW EY T IH D
",3
158,"accentuates AE K S EH N CH UW EY T S
",1
159,"accept AE K S EH P T
",72
160,"acceptability AH K S EH P T AH B IH L AH T IY
",2
161,"acceptable AE K S EH P T AH B AH L
",21
162,"acceptance AE K S EH P T AH N S
",49
163,"accepted AE K S EH P T IH D
",96
164,"accepting AE K S EH P T IH NG
",21
165,"accepts AE K S EH P T S
",6
166,"access AE K S EH S
",24
167,"accessibility AE K S EH S AH B IH L IH T IY
",2
168,"accessible AE K S EH S AH B AH L
",5
169,"accessories AE K S EH S ER IY Z
",7
170,"accessory AE K S EH S ER IY
",1
171,"accident AE K S AH D AH N T
",33
172,"accidental AE K S AH D EH N T AH L
",9
173,"accidentally AE K S AH D EH N T AH L IY
",6
174,"accidents AE K S AH D AH N T S
",8
175,"acclaim AH K L EY M
",4
176,"acclaimed AH K L EY M D
",4
177,"acclaims AH K L EY M Z
",1
178,"acclamation AE K L AH M EY SH AH N
",1
179,"accolade AE K AH L EY D
",2
180,"accolades AE K AH L EY D Z
",1
181,"accommodate AH K AA M AH D EY T
",14
182,"accommodated AH K AA M AH D EY T IH D
",1
183,"accommodates AH K AA M AH D EY T S
",2
184,"accommodating AH K AA M AH D EY T IH NG
",2
185,"accommodation AH K AA M AH D EY SH AH N
",1
186,"accommodations AH K AA M AH D EY SH AH N Z
",8
187,"accompanied AH K AH M P AH N IY D
",37
188,"accompanies AH K AH M P AH N IY Z
",1
189,"accompaniment AH K AH M P N IH M AH N T
",8
190,"accompaniments AH K AH M P N IH M AH N T S
",3
191,"accompanist AH K AH M P AH N AH S T
",1
192,"accompany AH K AH M P AH N IY
",8
193,"accompanying AH K AH M P AH N IY IH NG
",17
194,"accomplice AH K AA M P L AH S
",2
195,"accomplices AH K AA M P L AH S AH Z
",1
196,"accomplish AH K AA M P L IH SH
",24
197,"accomplished AH K AA M P L IH SH T
",44
198,"accomplishes AH K AA M P L IH SH IH Z
",1
199,"accomplishing AH K AA M P L IH SH IH NG
",3
200,"accomplishment AH K AA M P L IH SH M AH N T
",7
201,"accomplishments AH K AA M P L IH SH M AH N T S
",10
202,"accord AH K AO R D
",9
203,"accordance AH K AO R D AH N S
",20
204,"accorded AH K AO R D IH D
",4
205,"according AH K AO R D IH NG
",140
206,"accordingly AH K AO R D IH NG L IY
",31
207,"accordion AH K AO R D IY AH N
",1
208,"accords AH K AO R D Z
",1
209,"accosted AH K AA S T IH D
",2
210,"accosting AH K AA S T IH NG
",1
211,"account AH K AW N T
",117
212,"accountability AH K AW N T AH B IH L IH T IY
",4
213,"accountable AH K AW N T AH B AH L
",1
214,"accountant AH K AW N T AH N T
",2
215,"accountants AH K AW N T AH N T S
",1
216,"accounted AH K AW N T IH D
",5
217,"accounting AH K AW N T IH NG
",12
218,"accounts AH K AW N T S
",38
219,"accouterments AH K UW T ER M AH N T S
",1
220,"accreditation AH K R EH D AH T EY SH AH N
",7
221,"accredited AH K R EH D IH T IH D
",2
222,"accretion AH K R IY SH AH N
",3
223,"accrued AH K R UW D
",3
224,"accrues AH K R UW Z
",1
225,"accruing AH K R UW IH NG
",7
226,"accumulate AH K Y UW M Y AH L EY T
",3
227,"accumulated AH K Y UW M Y AH L EY T IH D
",10
228,"accumulates AH K Y UW M Y AH L EY T S
",2
229,"accumulating AH K Y UW M Y AH L EY T IH NG
",3
230,"accumulation AH K Y UW M Y AH L EY SH AH N
",11
231,"accuracy AE K Y ER AH S IY
",36
232,"accurate AE K Y ER AH T
",35
233,"accurately AE K Y ER AH T L IY
",24
234,"accusation AE K Y AH Z EY SH AH N
",3
235,"accusations AE K Y AH Z EY SH AH N Z
",3
236,"accuse AH K Y UW Z
",10
237,"accused AH K Y UW Z D
",25
238,"accuses AH K Y UW Z IH Z
",2
239,"accusing AH K Y UW Z IH NG
",8
240,"accusingly AH K Y UW Z IH NG L IY
",2
241,"accustomed AH K AH S T AH M D
",15
242,"ace EY S
",15
243,"aces EY S IH Z
",4
244,"acetate AE S AH T EY T
",7
245,"acetone AE S AH T OW N
",4
246,"acey EY S IY
",3
247,"ache EY K
",4
248,"ached EY K T
",3
249,"aches EY K S
",1
250,"acheson AE CH AH S AH N
",2
251,"acheson's AE CH AH S AH N Z
",1
252,"achieve AH CH IY V
",51
253,"achieved AH CH IY V D
",62
254,"achievement AH CH IY V M AH N T
",65
255,"achievements AH CH IY V M AH N T S
",19
256,"achieves AH CH IY V Z
",5
257,"achieving AH CH IY V IH NG
",15
258,"achilles AH K IH L IY Z
",1
259,"aching EY K IH NG
",6
260,"acid AE S AH D
",13
261,"acidity AH S IH D AH T IY
",1
262,"acids AE S AH D Z
",7
263,"ackerly AE K ER L IY
",1
264,"acknowledge AE K N AA L IH JH
",12
265,"acknowledged AE K N AA L IH JH D
",12
266,"acknowledgement AE K N AA L IH JH M AH N T
",2
267,"acknowledges AE K N AA L IH JH IH Z
",2
268,"acknowledging AE K N AA L IH JH IH NG
",1
269,"acknowledgment AE K N AA L IH JH M AH N T
",2
270,"acknowledgments AE K N AA L IH JH M AH N T S
",1
271,"acolyte AE K AH L AY T
",1
272,"acorns EY K AO R N Z
",1
273,"acoustic AH K UW S T IH K
",1
274,"acoustical AH K UW S T IH K AH L
",3
275,"acoustically AH K UW S T IH K L IY
",1
276,"acoustics AH K UW S T IH K S
",1
277,"acquaint AH K W EY N T
",3
278,"acquaintance AH K W EY N T AH N S
",9
279,"acquainted AH K W EY N T IH D
",12
280,"acquiesce AE K W IY EH S
",3
281,"acquiesced AE K W IY EH S T
",1
282,"acquiescence AE K W IY EH S AH N S
",5
283,"acquire AH K W AY ER
",27
284,"acquired AH K W AY ER D
",26
285,"acquires AH K W AY ER Z
",2
286,"acquiring AH K W AY R IH NG
",11
287,"acquisition AE K W AH Z IH SH AH N
",17
288,"acquisitions AE K W AH Z IH SH AH N Z
",2
289,"acquittal AH K W IH T AH L
",2
290,"acquitted AH K W IH T IH D
",2
291,"acre EY K ER
",10
292,"acreage EY K ER IH JH
",11
293,"acres EY K ER Z
",44
294,"acrid AE K R IH D
",1
295,"acrobatic AE K R AH B AE T IH K
",2
296,"acrobatics AE K R AH B AE T IH K S
",1
297,"acrobats AE K R AH B AE T S
",1
298,"acropolis AH K R AA P AH L AH S
",6
299,"across AH K R AO S
",282
300,"acrylic AH K R IH L IH K
",11
301,"act AE K T
",283
302,"acted AE K T IH D
",18
303,"acting AE K T IH NG
",61
304,"action AE K SH AH N
",291
305,"actions AE K SH AH N Z
",68
306,"activate AE K T AH V EY T
",2
307,"activated AE K T AH V EY T IH D
",5
308,"activating AE K T AH V EY T IH NG
",1
309,"activation AE K T AH V EY SH AH N
",7
310,"active AE K T IH V
",88
311,"actively AE K T IH V L IY
",12
312,"actives AE K T IH V Z
",8
313,"activism AE K T IH V IH Z AH M
",2
314,"activities AE K T IH V AH T IY Z
",115
315,"activity AE K T IH V AH T IY
",116
316,"actor AE K T ER
",24
317,"actor's AE K T ER Z
",1
318,"actors AE K T ER Z
",15
319,"actress AE K T R AH S
",6
320,"actresses AE K T R AH S IH Z
",3
321,"acts AE K T S
",39
322,"actual AE K CH AH W AH L
",99
323,"actuality AE K CH UW AE L AH T IY
",8
324,"actually AE K CH UW AH L IY
",166
325,"actuarial AE K CH UW EH R IY AH L
",1
326,"actuate AE K CH UW EY T
",1
327,"acumen AH K Y UW M AH N
",1
328,"acute AH K Y UW T
",13
329,"acutely AH K Y UW T L IY
",5
330,"ad AE D
",12
331,"ad-lib AE D L IH B
",1
332,"ada EY D AH
",17
333,"ada's EY D AH Z
",4
334,"adage AE D AH JH
",3
335,"adagio AH D AA ZH IY OW
",3
336,"adair AH D EH R
",2
337,"adam AE D AH M
",44
338,"adam's AE D AH M Z
",2
339,"adamant AE D AH M AH N T
",5
340,"adamantly AE D AH M AH N T L IY
",1
341,"adame AA D AA M IY
",1
342,"adamo AA D AA M OW
",1
343,"adams AE D AH M Z
",42
344,"adams' AE D AH M Z
",3
345,"adams's AE D AH M Z IH Z
",1
346,"adamson AE D AH M S AH N
",1
347,"adapt AH D AE P T
",5
348,"adaptable AH D AE P T AH B AH L
",2
349,"adaptaplex AH D AE P T AH P L EH K S
",1
350,"adaptation AE D AH P T EY SH AH N
",10
351,"adaptations AE D AE P T EY SH AH N Z
",7
352,"adapted AH D AE P T IH D
",13
353,"adapter AH D AE P T ER
",1
354,"adapters AH D AE P T ER Z
",2
355,"adapting AH D AE P T IH NG
",3
356,"adcock AH D K AA K
",1
357,"add AE D
",88
358,"added AE D AH D
",172
359,"addict AH D IH K T
",1
360,"addicted AH D IH K T IH D
",3
361,"addiction AH D IH K SH AH N
",3
362,"addicts AH D IH K T S
",4
363,"adding AE D IH NG
",22
364,"addison AE D AH S AH N
",1
365,"addition AH D IH SH AH N
",142
366,"additional AH D IH SH AH N AH L
",120
367,"additionally AH D IH SH AH N AH L IY
",5
368,"additions AH D IH SH AH N Z
",9
369,"additive AE D AH T IH V
",3
370,"additives AE D AH T IH V Z
",4
371,"address AE D R EH S
",77
372,"addressed AH D R EH S T
",19
373,"addresses AE D R EH S IH Z
",21
374,"addressing AH D R EH S IH NG
",9
375,"adds AE D Z
",10
376,"ade EY D
",1
377,"adele AH D EH L
",2
378,"adenauer EY D AH N AW R
",4
379,"adept AH D EH P T
",4
380,"adequacy AE D AH K W AH S IY
",3
381,"adequate AE D AH K W AH T
",66
382,"adequately AE D AH K W AH T L IY
",16
383,"adhere AH D HH IH R
",4
384,"adhered AE D HH IH R D
",5
385,"adherence AH D HH IH R AH N S
",9
386,"adherent AH D HH IH R AH N T
",2
387,"adherents AE D HH IH R AH N T S
",5
388,"adheres AH D HH IH R Z
",1
389,"adhesion AE D HH IY ZH AH N
",2
390,"adhesive AE D HH IY S IH V
",6
391,"adhesives AE D HH IY S IH V Z
",2
392,"adieu AH D UW
",1
393,"adios AA D IY OW S
",6
394,"adirondack AE D ER AA N D AE K
",2
395,"adjacent AH JH EY S AH N T
",12
396,"adjective AE JH IH K T IH V
",2
397,"adjectives AE JH IH K T IH V Z
",4
398,"adjoining AH JH OY N IH NG
",13
399,"adjoins AH JH OY N Z
",2
400,"adjourned AH JH ER N D
",2
401,"adjourning AH JH ER N IH NG
",1
402,"adjournment AH JH ER N M AH N T
",4
403,"adjourns AH JH ER N Z
",1
404,"adjudged AH JH AH JH D
",1
405,"adjudicate AH JH UW D IH K EY T
",1
406,"adjudication AH JH UW D AH K EY SH AH N
",4
407,"adjunct AE JH AH NG K T
",6
408,"adjuncts AE JH AH NG K T S
",1
409,"adjust AH JH AH S T
",16
410,"adjustable AH JH AH S T AH B AH L
",2
411,"adjusted AH JH AH S T IH D
",33
412,"adjusting AH JH AH S T IH NG
",11
413,"adjustment AH JH AH S T M AH N T
",35
414,"adjustments AH JH AH S T M AH N T S
",20
415,"adjusts AH JH AH S T S
",2
416,"adlai AA D L AA IY
",7
417,"adler AE D L ER
",3
418,"administer AH D M IH N AH S T ER
",3
419,"administered AH D M IH N AH S T ER D
",14
420,"administering AE D M IH N IH S T ER IH NG
",4
421,"administers AE D M IH N IH S T ER Z
",1
422,"administration AE D M IH N IH S T R EY SH AH N
",161
423,"administration's AE D M IH N IH S T R EY SH AH N Z
",6
424,"administrative AH D M IH N AH S T R EY T IH V
",53
425,"administratively AE D M IH N AH S T R EY T IH V L IY
",1
426,"administrator AH D M IH N AH S T R EY T ER
",15
427,"administrators AE D M IH N IH S T R EY T ER Z
",5
428,"admirable AE D M ER AH B AH L
",10
429,"admirably AE D M ER AH B L IY
",6
430,"admirals AE D M ER AH L Z
",1
431,"admiralty AE D M ER AH L T IY
",1
432,"admiration AE D M ER EY SH AH N
",10
433,"admire AE D M AY R
",10
434,"admired AH D M AY ER D
",17
435,"admirer AE D M AY R ER
",3
436,"admirers AH D M AY R ER Z
",2
437,"admires AE D M AY R Z
",1
438,"admiring AE D M AY R IH NG
",4
439,"admiringly AE D M AY R IH NG L IY
",1
440,"admissible AH D M IH S AH B AH L
",9
441,"admission AE D M IH SH AH N
",33
442,"admissions AE D M IH SH AH N Z
",3
443,"admit AH D M IH T
",37
444,"admits AH D M IH T S
",2
445,"admittance AH D M IH T AH N S
",1
446,"admitted AH D M IH T IH D
",44
447,"admittedly AE D M IH T IH D L IY
",3
448,"admitting AE D M IH T IH NG
",8
449,"admonished AH D M AA N IH SH T
",2
450,"admonishing AE D M AA N IH SH IH NG
",1
451,"admonition AE D M AH N IH SH AH N
",1
452,"admonitions AE D M AH N IH SH AH N Z
",3
453,"adnan AE D N AH N
",1
454,"ado AH D UW
",4
455,"adobe AH D OW B IY
",2
456,"adolescence AE D AH L EH S AH N S
",18
457,"adolescent AE D AH L EH S AH N T
",12
458,"adolescents AE D AH L EH S AH N T S
",7
459,"adolf EY D AA L F
",4
460,"adolphus AH D AO L F AH S
",1
461,"adonis AH D AA N AH S
",1
462,"adopt AH D AA P T
",13
463,"adopted AH D AA P T IH D
",45
464,"adopting AH D AA P T IH NG
",11
465,"adoption AH D AA P SH AH N
",11
466,"adopts AH D AA P T S
",2
467,"adorable AH D AO R AH B AH L
",3
468,"adore AH D AO R
",2
469,"adored AH D AO R D
",2
470,"adores AH D AO R Z
",1
471,"adorn AH D AO R N
",1
472,"adorned AH D AO R N D
",1
473,"adorns AH D AO R N Z
",1
474,"adrenal AH D R IY N AH L
",2
475,"adrian EY D R IY AH N
",4
476,"adriatic EY D R IY AE T IH K
",3
477,"adrift AH D R IH F T
",1
478,"adroit AH D R OY T
",1
479,"ads AE D Z
",10
480,"adulation AE JH AH L EY SH AH N
",1
481,"adult AH D AH L T
",25
482,"adulterated AH D AH L T ER EY T IH D
",1
483,"adulterers AH D AH L T ER ER Z
",2
484,"adulterous AH D AH L T ER AH S
",1
485,"adultery AH D AH L T ER IY
",3
486,"adulthood AH D AH L T HH UH D
",3
487,"adults AH D AH L T S
",23
488,"advance AH D V AE N S
",59
489,"advanced AH D V AE N S T
",53
490,"advancement AH D V AE N S M AH N T
",10
491,"advancements AH D V AE N S M AH N T S
",1
492,"advances AH D V AE N S AH Z
",18
493,"advancing AH D V AE N S IH NG
",4
494,"advantage AE D V AE N T IH JH
",73
495,"advantageous AE D V AH N T EY JH AH S
",5
496,"advantages AE D V AE N T IH JH IH Z
",28
497,"advent AE D V EH N T
",5
498,"adventists AE D V EH N T IH S T S
",1
499,"adventure AE D V EH N CH ER
",14
500,"adventurers AE D V EH N CH ER ER Z
",1
501,"adventures AE D V EH N CH ER Z
",14
502,"adventurous AE D V EH N CH ER AH S
",5
503,"adverb AE D V ER B
",1
504,"adverbial AE D V ER B IY AH L
",2
505,"adverbs AE D V ER B Z
",2
506,"adversaries AE D V ER S EH R IY Z
",3
507,"adversary AE D V ER S EH R IY
",5
508,"adverse AE D V ER S
",11
509,"adversely AE D V ER S L IY
",3
510,"adversity AE D V ER S IH T IY
",2
511,"advertise AE D V ER T AY Z
",3
512,"advertised AE D V ER T AY Z D
",9
513,"advertisement AE D V ER T AH Z M AH N T
",2
514,"advertisements AE D V ER T AY Z M AH N T S
",3
515,"advertiser AE D V ER T AY Z ER
",1
516,"advertisers AE D V ER T AY Z ER Z
",5
517,"advertises AE D V ER T AY Z IH Z
",1
518,"advertising AE D V ER T AY Z IH NG
",50
519,"advice AE D V AY S
",52
520,"advisability AE D V AY Z AH B IH L IH T IY
",4
521,"advisable AH D V AY Z AH B AH L
",1
522,"advise AE D V AY Z
",9
523,"advised AE D V AY Z D
",33
524,"advisedly AE D V AY Z AH D L IY
",1
525,"advisement AH D V AY Z M AH N T
",2
526,"adviser AE D V AY Z ER
",6
527,"advisers AE D V AY Z ER Z
",12
528,"advises AE D V AY Z IH Z
",2
529,"advising AE D V AY Z IH NG
",3
530,"advisor AE D V AY Z ER
",1
531,"advisors AE D V AY Z ER Z
",5
532,"advisory AE D V AY Z ER IY
",24
533,"advocacy AE D V AH K AH S IY
",3
534,"advocate AE D V AH K AH T
",15
535,"advocated AE D V AH K EY T IH D
",4
536,"advocates AE D V AH K AH T S
",1
537,"advocating AE D V AH K EY T IH NG
",6
538,"aegean IH JH IY AH N
",15
539,"aegis IY JH AH S
",1
540,"aerial EH R IY AH L
",8
541,"aerials EH R IY AH L Z
",1
542,"aerobic EH R OW B IH K
",1
543,"aerodynamic EH R OW D AY N AE M IH K
",1
544,"aeronautical EH R OW N AA T AH K AH L
",1
545,"aeronautics EH R AH N AO T IH K S
",2
546,"aerosol EH R AH S AA L
",7
547,"aerosols EH R AH S AA L Z
",3
548,"aerospace EH R OW S P EY S
",4
549,"aesthetes EH S TH IY T S
",1
550,"aesthetic EH S TH EH T IH K
",26
551,"aesthetics EH S TH EH T IH K S
",1
552,"afar AH F AA R
",2
553,"affable AE F AH B AH L
",1
554,"affair AH F EH R
",33
555,"affairs AH F EH R Z
",84
556,"affect AH F EH K T
",35
557,"affectation AE F EH K T EY SH AH N
",1
558,"affected AH F EH K T IH D
",36
559,"affecting AH F EH K T IH NG
",5
560,"affection AH F EH K SH AH N
",18
561,"affectionate AH F EH K SH AH N AH T
",6
562,"affectionately AH F EH K SH AH N AH T L IY
",3
563,"affections AH F EH K SH AH N Z
",4
564,"affects AH F EH K T S
",19
565,"afferent AE F ER AH N T
",1
566,"affidavits AE F IH D EY V IH T S
",2
567,"affiliated AH F IH L IY EY T IH D
",7
568,"affiliates AH F IH L IY AH T S
",1
569,"affiliation AH F IH L IY EY SH AH N
",4
570,"affiliations AH F IH L IY EY SH AH N Z
",5
571,"affinities AH F IH N AH T IY Z
",1
572,"affinity AH F IH N AH T IY
",5
573,"affirm AH F ER M
",12
574,"affirmation AE F ER M EY SH AH N
",4
575,"affirmations AE F ER M EY SH AH N Z
",1
576,"affirmative AH F ER M AH T IH V
",4
577,"affirmatively AH F ER M AH T IH V L IY
",1
578,"affirmed AH F ER M D
",6
579,"affirming AH F ER M IH NG
",2
580,"affirms AH F ER M Z
",1
581,"affix AE F IH K S
",1
582,"affixed AH F IH K S T
",14
583,"afflicted AH F L IH K T IH D
",8
584,"affliction AH F L IH K SH AH N
",1
585,"afflictions AH F L IH K SH AH N Z
",1
586,"affluence AE F L UW AH N S
",4
587,"affluent AE F L UW AH N T
",2
588,"afford AH F AO R D
",40
589,"afforded AH F AO R D AH D
",11
590,"affording AH F AO R D IH NG
",2
591,"affords AH F AO R D Z
",5
592,"affront AH F R AH N T
",2
593,"affronted AH F R AH N T IH D
",1
594,"affronting AH F R AH N T IH NG
",1
595,"afghan AE F G AE N
",3
596,"afghans AE F G AE N Z
",1
597,"aficionado AH F IY SH Y AH N AA D OW
",1
598,"afield AH F IY L D
",1
599,"afire AH F AY R
",1
600,"aflame AH F L EY M
",3
601,"afloat AH F L OW T
",7
602,"afoot AH F UH T
",1
603,"aforementioned AH F AO R M EH N SH AH N D
",2
604,"aforesaid AH F AO R S EH D
",2
605,"aforethought AH F AO R TH AA T
",1
606,"afraid AH F R EY D
",57
607,"afresh AH F R EH SH
",2
608,"africa AE F R AH K AA
",45
609,"african AE F R AH K AH N
",28
610,"africans AE F R AH K AH N Z
",4
611,"aft AE F T
",5
612,"after AE F T ER
",1069
613,"aftermath AE F T ER M AE TH
",4
614,"afternoon AE F T ER N UW N
",106
615,"afternoon's AE F T ER N UW N Z
",3
616,"afternoons AE F T ER N UW N Z
",13
617,"afterward AE F T ER W ER D
",16
618,"afterwards AE F T ER W ER D Z
",14
619,"again AH G EH N
",577
620,"against AH G EH N S T
",627
621,"agamemnon AE G AH M EH M N AA N
",2
622,"agamemnon's AE G AH M EH M N AA N Z
",1
623,"agates AE G AH T S
",1
624,"agatha AE G AH TH AH
",2
625,"age EY JH
",227
626,"aged EY JH D
",18
627,"agee EY JH IY
",1
628,"ageless EY JH L AH S
",2
629,"agencies EY JH AH N S IY Z
",62
630,"agency EY JH AH N S IY
",56
631,"agenda AH JH EH N D AH
",5
632,"agent EY JH AH N T
",44
633,"agent's EY JH AH N T S
",1
634,"agents EY JH AH N T S
",39
635,"ages EY JH AH Z
",51
636,"aggie AE G IY
",2
637,"aggies AE G IY Z
",2
638,"agglomerate AH G L AA M ER EY T
",2
639,"agglomeration AH G L AA M ER EY SH AH N
",3
640,"aggravate AE G R AH V EY T
",1
641,"aggravated AE G R AH V EY T IH D
",3
642,"aggravates AE G R AH V EY T S
",1
643,"aggregate AE G R AH G AH T
",8
644,"aggregation AE G R AH G EY SH AH N
",1
645,"aggression AH G R EH SH AH N
",10
646,"aggressions AH G R EH SH AH N Z
",3
647,"aggressive AH G R EH S IH V
",17
648,"aggressively AH G R EH S IH V L IY
",2
649,"aggressiveness AH G R EH S IH V N AH S
",5
650,"aggressor AH G R EH S ER
",2
651,"aggrieved AH G R IY V D
",3
652,"aghast AH G AE S T
",1
653,"agile AE JH AH L
",2
654,"agility AH JH IH L AH T IY
",3
655,"agin AA JH IY N
",2
656,"aging EY JH IH NG
",4
657,"agitate AE JH AH T EY T
",1
658,"agitated AE JH AH T EY T IH D
",1
659,"agitating AE JH AH T EY T IH NG
",1
660,"agitation AE JH AH T EY SH AH N
",6
661,"agitator AE JH AH T EY T ER
",1
662,"agitators AE JH IH T EY T ER Z
",1
663,"agleam AH G L IY M
",1
664,"agnes AE G N IH S
",1
665,"agnostics AE G N AA S T IH K S
",1
666,"ago AH G OW
",246
667,"agonies AE G AH N IY Z
",1
668,"agonized AE G AH N AY Z D
",1
